ASTRAL CALCADOS LTDA-ME                     ,RUA CAPITAO SPERIDIAO 477 - CENTRO                          ,MG   ,JOAO PINHEIRO         ,38 3561 4490
B &AMP; C CALCADOS E ACESSORIOS LTDA ME     ,RUA JOSE FERNANDES RIBEIRO 20 - CENTRO                      ,MG   ,JACUTINGA             ,35 3443-2524
B L CALCADOS E CONFECCOES LTDA              ,RUA  BENTO FERREIRA DOS SANTOS 68 - CENTRO                  ,MG   ,SAO GOTARDO           ,34-3671-1227
BAGAG COMERCIO E CRIACOES DE CONF E COUR    ,RUA JUAREZ MOTTA 469 - BOM PASTOR                           ,MG   ,CONCEICAO DO RIO VERDE,35 3335 1078
BATISTA E NASSER LTDA ME                    ,PC PRESIDENTE VARGAS 194 - CENTRO                           ,MG   ,JACUI                 ,35-3593-1179
BAZAR POLMEL LTDA ME                        ,PCA PEDRO JOSE DE QUEIROZ 25 - SAO PEDRO                    ,MG   ,MIRADOURO             ,32-3753-1091
BELLA PRESENTES E CIA LTDA ME               ,AV BIAS FORTES 40 - CENTRO                                  ,MG   ,IBERTIOGA             ,32 33471217
BELLADUDA COM DE CALC E ACES LTDA ME        ,R BATISTA DE OLIVEIRA 632 LJ - CENTRO                       ,MG   ,JUIZ DE FORA          ,32 3215-8908
BELLAGUI COM DE CALC E ACES LTDA ME         ,AV BARAO DO RIO BRANCO 2721 LJ 117 - CENTRO                 ,MG   ,JUIZ DE FORA          ,32 3215-8935
BIA COMERCIO DE CALCADOS LTDA               ,RUA PARA DE MINAS 377 - CENTRO                              ,MG   ,NOVA SERRANA          ,3225-1758
BITTENCOURT &AMP; KIKUCHI LTDA ME           ,PCA CRUZEIRO 40 - CENTRO                                    ,MG   ,MADRE DE DEUS DE MINAS,32-3338-1398
BONFIM KIDS CALCADOS LTDA EPP               ,R DELFIM MOREIRA 316 - CENTRO                               ,MG   ,VARGINHA              ,35 3212-7948
BOSSANELI E SOUZA LTDA                      ,AV OLEGARIO MACIEL 146 - CENTRO                             ,MG   ,RESPLENDOR            ,33 3263-1639
BRIGIDA CASSIA DE OLIVEIRA ME               ,R DELFIM MOREIRA 404 - CENTRO                               ,MG   ,VARGINHA              ,35 322-2096
C A ALMEIDA COM DE CALCA E ACES LTDA ME     ,AV CARDOSO SARAIVA 350 A - CENTRO                           ,MG   ,MATIAS BARBOSA        ,32 3273-3806
CAIALA CALCADOS LTDA ME                     ,AV GETULIO VARGAS 4635 - CARNEIRINHOS                       ,MG   ,JOAO MONLEVADE        ,37 2101-4300
CALCADAO COMERCIO DE CALCADOS LTDA -EPP     ,R XV DE NOVEMBRO 72 AN 74 LJ 01/03 - CENTRO                 ,MG   ,BARBACENA             ,32-3331-7004
CALCADISTA AVANTE LTDA ME                   ,R RUI BARBOSA 261 - CENTRO                                  ,MG   ,ARAGUARI              ,62 3633 3901
CALCADOS AVENIDA LTDA ME                    ,R PREFEITO ANASTACIO 49 - CENTRO                            ,MG   ,MANTENA               ,33 3241 1370
CALCADOS BONFIM LTDA EPP                    ,R DELFIM MOREIRA 336 LETRA B - CENTRO                       ,MG   ,VARGINHA              ,35 3241-4441
